ID,SourceText,VanillaText,Russian,English,Status,Context,Packages,Locations,Notes
987654321,<style WeaponModHeader><DisplayName></style>,,<style WeaponModHeader><DisplayName></style>,<style WeaponModHeader><DisplayName></style>,russian-override;new-id,jazz:Code/System_Firearm_AddProperties.lua:477,jazz,jazz:Code/System_Firearm_AddProperties.lua:601 | jazz:Code/System_WeaponRemovableModify.lua:528,
990002014,<bullet_point> <text>,,<bullet_point> <text>,<bullet_point> <text>,russian-override;new-id,jazz:Code/System_WeaponRemovableModify.lua,jazz,jazz:Code/System_WeaponRemovableModify.lua:512 | jazz:Code/System_WeaponRemovableModify.lua:536 | jazz:items.lua:77115 | jazz:items.lua:77911,
990002015,<style WeaponModExtraModificationsTransparent><text></style>,,<style WeaponModExtraModificationsTransparent><text></style>,<style WeaponModExtraModificationsTransparent><text></style>,russian-override;new-id,jazz:items.lua WeaponModExtraModifications,jazz,jazz:items.lua:77118 | jazz:items.lua:77914,
990002100,Default Compensator,,Стандартный компенсатор,Default Compensator,russian-override;new-id,jazz:InventoryItem/JAZZ_AUGCompensator_01.lua:9 | jazz:items.lua:53376,jazz,jazz:InventoryItem/JAZZ_AUGCompensator_01.lua:9 | jazz:items.lua:53870,
990002101,Default Compensator,,Стандартный компенсатор,Default Compensator,russian-override;new-id,jazz:InventoryItem/JAZZ_AUGCompensator_01.lua:10 | jazz:items.lua:53377,jazz,jazz:InventoryItem/JAZZ_AUGCompensator_01.lua:10 | jazz:items.lua:53871,
990002102,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_AUGCompensator_01.lua:11 | jazz:items.lua:53872,
990002103,Advanced Compensator,,Улучшенный компенсатор,Advanced Compensator,russian-override;new-id,jazz:InventoryItem/JAZZ_AUGCompensator_03.lua:9 | jazz:items.lua:53395,jazz,jazz:InventoryItem/JAZZ_AUGCompensator_03.lua:9 | jazz:items.lua:53889,
990002104,Advanced Compensator,,Улучшенный компенсатор,Advanced Compensator,russian-override;new-id,jazz:InventoryItem/JAZZ_AUGCompensator_03.lua:10 | jazz:items.lua:53396,jazz,jazz:InventoryItem/JAZZ_AUGCompensator_03.lua:10 | jazz:items.lua:53890,
990002105,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_AUGCompensator_03.lua:11 | jazz:items.lua:53891,
990002106,Bipod,,Сошки,Bipod,russian-override;new-id,jazz:InventoryItem/JAZZ_Bipod.lua:9 | jazz:items.lua:53414,jazz,jazz:InventoryItem/JAZZ_Bipod.lua:9 | jazz:items.lua:53908,
990002107,Bipod,,Сошки,Bipod,russian-override;new-id,jazz:InventoryItem/JAZZ_Bipod.lua:10 | jazz:items.lua:53415,jazz,jazz:InventoryItem/JAZZ_Bipod.lua:10 | jazz:items.lua:53909,
990002108,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_Bipod.lua:11 | jazz:items.lua:53910,
990002109,Bipod,,Сошки,Bipod,russian-override;new-id,jazz:InventoryItem/JAZZ_Bipod_Galil.lua:9 | jazz:items.lua:53433,jazz,jazz:InventoryItem/JAZZ_Bipod_Galil.lua:9 | jazz:items.lua:53927,
990002110,Bipod,,Сошки,Bipod,russian-override;new-id,jazz:InventoryItem/JAZZ_Bipod_Galil.lua:10 | jazz:items.lua:53434,jazz,jazz:InventoryItem/JAZZ_Bipod_Galil.lua:10 | jazz:items.lua:53928,
990002111,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_Bipod_Galil.lua:11 | jazz:items.lua:53929,
990002112,Bipod,,Сошки,Bipod,russian-override;new-id,jazz:InventoryItem/JAZZ_Bipod_Under.lua:9 | jazz:items.lua:53452,jazz,jazz:InventoryItem/JAZZ_Bipod_Under.lua:9 | jazz:items.lua:53946,
990002113,Bipod,,Сошки,Bipod,russian-override;new-id,jazz:InventoryItem/JAZZ_Bipod_Under.lua:10 | jazz:items.lua:53453,jazz,jazz:InventoryItem/JAZZ_Bipod_Under.lua:10 | jazz:items.lua:53947,
990002114,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_Bipod_Under.lua:11 | jazz:items.lua:53948,
990002115,JAZZ_CombatScope_1P29,,JAZZ_CombatScope_1P29,JAZZ_CombatScope_1P29,russian-override;new-id,jazz:InventoryItem/JAZZ_CombatScope_1P29.lua:9 | jazz:items.lua:53471,jazz,jazz:InventoryItem/JAZZ_CombatScope_1P29.lua:9 | jazz:items.lua:53965,
990002116,JAZZ_CombatScope_1P29,,JAZZ_CombatScope_1P29,JAZZ_CombatScope_1P29,russian-override;new-id,jazz:InventoryItem/JAZZ_CombatScope_1P29.lua:10 | jazz:items.lua:53472,jazz,jazz:InventoryItem/JAZZ_CombatScope_1P29.lua:10 | jazz:items.lua:53966,
990002117,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_CombatScope_1P29.lua:11 | jazz:items.lua:53967,
990002118,Штурмовой прицел (2x),,Штурмовой прицел (2x),Assault Scope (2x),russian-override;new-id,jazz:InventoryItem/JAZZ_CombatScope_2x.lua:9 | jazz:items.lua:53490,jazz,jazz:InventoryItem/JAZZ_CombatScope_2x.lua:9 | jazz:items.lua:53984,
990002119,Штурмовой прицел (2x),,Штурмовой прицел (2x),Assault Scope (2x),russian-override;new-id,jazz:InventoryItem/JAZZ_CombatScope_2x.lua:10 | jazz:items.lua:53491,jazz,jazz:InventoryItem/JAZZ_CombatScope_2x.lua:10 | jazz:items.lua:53985,
990002120,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_CombatScope_2x.lua:11 | jazz:items.lua:53986,
990002121,Штурмовой прицел (3x),,Штурмовой прицел (3x),Assault Scope (3x),russian-override;new-id,jazz:InventoryItem/JAZZ_CombatScope_3x.lua:9 | jazz:items.lua:53509,jazz,jazz:InventoryItem/JAZZ_CombatScope_3x.lua:9 | jazz:items.lua:54003,
990002122,Штурмовой прицел (3x),,Штурмовой прицел (3x),Assault Scope (3x),russian-override;new-id,jazz:InventoryItem/JAZZ_CombatScope_3x.lua:10 | jazz:items.lua:53510,jazz,jazz:InventoryItem/JAZZ_CombatScope_3x.lua:10 | jazz:items.lua:54004,
990002123,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_CombatScope_3x.lua:11 | jazz:items.lua:54005,
990002124,Штурмовой прицел ACOG (4x),,Штурмовой прицел ACOG (4x),ACOG Combat Scope (4x),russian-override;new-id,jazz:InventoryItem/JAZZ_CombatScope_ACOG.lua:9 | jazz:items.lua:53528,jazz,jazz:InventoryItem/JAZZ_CombatScope_ACOG.lua:9 | jazz:items.lua:54022,
990002125,Штурмовой прицел ACOG (4x),,Штурмовой прицел ACOG (4x),ACOG Combat Scope (4x),russian-override;new-id,jazz:InventoryItem/JAZZ_CombatScope_ACOG.lua:10 | jazz:items.lua:53529,jazz,jazz:InventoryItem/JAZZ_CombatScope_ACOG.lua:10 | jazz:items.lua:54023,
990002126,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_CombatScope_ACOG.lua:11 | jazz:items.lua:54024,
990002127,Штурмовой прицел Fero Z24 (4х),,Штурмовой прицел Fero Z24 (4×),Fero Z24 Assault Scope (4x),russian-override;new-id,jazz:InventoryItem/JAZZ_CombatScope_FeroZ24.lua:9 | jazz:items.lua:53547,jazz,jazz:InventoryItem/JAZZ_CombatScope_FeroZ24.lua:9 | jazz:items.lua:54041,
990002128,Штурмовой прицел Fero Z24 (4х),,Штурмовой прицел Fero Z24 (4×),Fero Z24 Assault Scope (4x),russian-override;new-id,jazz:InventoryItem/JAZZ_CombatScope_FeroZ24.lua:10 | jazz:items.lua:53548,jazz,jazz:InventoryItem/JAZZ_CombatScope_FeroZ24.lua:10 | jazz:items.lua:54042,
990002129,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_CombatScope_FeroZ24.lua:11 | jazz:items.lua:54043,
990002130,Compensator,,Компенсатор,Compensator,russian-override;new-id,jazz:InventoryItem/JAZZ_Compensator.lua:9 | jazz:items.lua:53566,jazz,jazz:InventoryItem/JAZZ_Compensator.lua:9 | jazz:items.lua:54060,
990002131,Compensator,,Компенсатор,Compensator,russian-override;new-id,jazz:InventoryItem/JAZZ_Compensator.lua:10 | jazz:items.lua:53567,jazz,jazz:InventoryItem/JAZZ_Compensator.lua:10 | jazz:items.lua:54061,
990002132,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_Compensator.lua:11 | jazz:items.lua:54062,
990002133,Duckbill Choke,,Чок «утиный клюв»,Duckbill Choke,russian-override;new-id,jazz:InventoryItem/JAZZ_DuckbillChoke.lua:9 | jazz:items.lua:53585,jazz,jazz:InventoryItem/JAZZ_DuckbillChoke.lua:9 | jazz:items.lua:54079,
990002134,Duckbill Choke,,Чок «утиный клюв»,Duckbill Choke,russian-override;new-id,jazz:InventoryItem/JAZZ_DuckbillChoke.lua:10 | jazz:items.lua:53586,jazz,jazz:InventoryItem/JAZZ_DuckbillChoke.lua:10 | jazz:items.lua:54080,
990002135,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_DuckbillChoke.lua:11 | jazz:items.lua:54081,
990002136,Пламегаситель,,Пламегаситель,Flash Hider,russian-override;new-id,jazz:InventoryItem/JAZZ_FlashHider.lua:9 | jazz:items.lua:53604,jazz,jazz:InventoryItem/JAZZ_FlashHider.lua:9 | jazz:items.lua:54098,
990002137,Пламегаситель,,Пламегаситель,Flash Hider,russian-override;new-id,jazz:InventoryItem/JAZZ_FlashHider.lua:10 | jazz:items.lua:53605,jazz,jazz:InventoryItem/JAZZ_FlashHider.lua:10 | jazz:items.lua:54099,
990002138,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_FlashHider.lua:11 | jazz:items.lua:54100,
990002139,Flashlight,,Фонарик,Flashlight,russian-override;new-id,jazz:InventoryItem/JAZZ_Flashlight.lua:9 | jazz:items.lua:53623,jazz,jazz:InventoryItem/JAZZ_Flashlight.lua:9 | jazz:items.lua:54117,
990002140,Flashlight,,Фонарик,Flashlight,russian-override;new-id,jazz:InventoryItem/JAZZ_Flashlight.lua:10 | jazz:items.lua:53624,jazz,jazz:InventoryItem/JAZZ_Flashlight.lua:10 | jazz:items.lua:54118,
990002141,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_Flashlight.lua:11 | jazz:items.lua:54119,
990002142,Tactical Device,,Тактический модуль,Tactical Device,russian-override;new-id,jazz:InventoryItem/JAZZ_FlashlightDot.lua:9 | jazz:items.lua:53642,jazz,jazz:InventoryItem/JAZZ_FlashlightDot.lua:9 | jazz:items.lua:54136,
990002143,Tactical Device,,Тактический модуль,Tactical Device,russian-override;new-id,jazz:InventoryItem/JAZZ_FlashlightDot.lua:10 | jazz:items.lua:53643,jazz,jazz:InventoryItem/JAZZ_FlashlightDot.lua:10 | jazz:items.lua:54137,
990002144,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_FlashlightDot.lua:11 | jazz:items.lua:54138,
990002145,Tactical Device,,Тактический модуль,Tactical Device,russian-override;new-id,jazz:InventoryItem/JAZZ_FlashlightDot_Anaconda.lua:9 | jazz:items.lua:53661,jazz,jazz:InventoryItem/JAZZ_FlashlightDot_Anaconda.lua:9 | jazz:items.lua:54155,
990002146,Tactical Device,,Тактический модуль,Tactical Device,russian-override;new-id,jazz:InventoryItem/JAZZ_FlashlightDot_Anaconda.lua:10 | jazz:items.lua:53662,jazz,jazz:InventoryItem/JAZZ_FlashlightDot_Anaconda.lua:10 | jazz:items.lua:54156,
990002147,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_FlashlightDot_Anaconda.lua:11 | jazz:items.lua:54157,
990002148,Tactical Device,,Тактический модуль,Tactical Device,russian-override;new-id,jazz:InventoryItem/JAZZ_FlashlightDot_PSG_M1.lua:9 | jazz:items.lua:53680,jazz,jazz:InventoryItem/JAZZ_FlashlightDot_PSG_M1.lua:9 | jazz:items.lua:54174,
990002149,Tactical Device,,Тактический модуль,Tactical Device,russian-override;new-id,jazz:InventoryItem/JAZZ_FlashlightDot_PSG_M1.lua:10 | jazz:items.lua:53681,jazz,jazz:InventoryItem/JAZZ_FlashlightDot_PSG_M1.lua:10 | jazz:items.lua:54175,
990002150,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_FlashlightDot_PSG_M1.lua:11 | jazz:items.lua:54176,
990002151,Tactical Device,,Тактический модуль,Tactical Device,russian-override;new-id,jazz:InventoryItem/JAZZ_FlashlightDot_aa12.lua:9 | jazz:items.lua:53699,jazz,jazz:InventoryItem/JAZZ_FlashlightDot_aa12.lua:9 | jazz:items.lua:54193,
990002152,Tactical Device,,Тактический модуль,Tactical Device,russian-override;new-id,jazz:InventoryItem/JAZZ_FlashlightDot_aa12.lua:10 | jazz:items.lua:53700,jazz,jazz:InventoryItem/JAZZ_FlashlightDot_aa12.lua:10 | jazz:items.lua:54194,
990002153,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_FlashlightDot_aa12.lua:11 | jazz:items.lua:54195,
990002154,Flashlight,,Фонарик,Flashlight,russian-override;new-id,jazz:InventoryItem/JAZZ_Flashlight_PSG_M1.lua:9 | jazz:items.lua:53718,jazz,jazz:InventoryItem/JAZZ_Flashlight_PSG_M1.lua:9 | jazz:items.lua:54212,
990002155,Flashlight,,Фонарик,Flashlight,russian-override;new-id,jazz:InventoryItem/JAZZ_Flashlight_PSG_M1.lua:10 | jazz:items.lua:53719,jazz,jazz:InventoryItem/JAZZ_Flashlight_PSG_M1.lua:10 | jazz:items.lua:54213,
990002156,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_Flashlight_PSG_M1.lua:11 | jazz:items.lua:54214,
990002157,Flashlight,,Фонарик,Flashlight,russian-override;new-id,jazz:InventoryItem/JAZZ_Flashlight_aa12.lua:9 | jazz:items.lua:53737,jazz,jazz:InventoryItem/JAZZ_Flashlight_aa12.lua:9 | jazz:items.lua:54231,
990002158,Flashlight,,Фонарик,Flashlight,russian-override;new-id,jazz:InventoryItem/JAZZ_Flashlight_aa12.lua:10 | jazz:items.lua:53738,jazz,jazz:InventoryItem/JAZZ_Flashlight_aa12.lua:10 | jazz:items.lua:54232,
990002159,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_Flashlight_aa12.lua:11 | jazz:items.lua:54233,
990002160,Full Choke,,Полный чок,Full Choke,russian-override;new-id,jazz:InventoryItem/JAZZ_FullChoke.lua:9 | jazz:items.lua:53756,jazz,jazz:InventoryItem/JAZZ_FullChoke.lua:9 | jazz:items.lua:54250,
990002161,Full Choke,,Полный чок,Full Choke,russian-override;new-id,jazz:InventoryItem/JAZZ_FullChoke.lua:10 | jazz:items.lua:53757,jazz,jazz:InventoryItem/JAZZ_FullChoke.lua:10 | jazz:items.lua:54251,
990002162,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_FullChoke.lua:11 | jazz:items.lua:54252,
990002163,Прицел G36 3x,,Прицел G36 3x,G36 Scope (3x),russian-override;new-id,jazz:InventoryItem/JAZZ_G36Scope.lua:9 | jazz:items.lua:53775,jazz,jazz:InventoryItem/JAZZ_G36Scope.lua:9 | jazz:items.lua:54269,
990002164,Прицел G36 3x,,Прицел G36 3x,G36 Scope (3x),russian-override;new-id,jazz:InventoryItem/JAZZ_G36Scope.lua:10 | jazz:items.lua:53776,jazz,jazz:InventoryItem/JAZZ_G36Scope.lua:10 | jazz:items.lua:54270,
990002165,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_G36Scope.lua:11 | jazz:items.lua:54271,
990002166,Прицел G36 1.5x,,"Прицел G36 (1,5×)",G36 Scope (1.5x),russian-override;new-id,jazz:InventoryItem/JAZZ_G36Sight.lua:9 | jazz:items.lua:53794,jazz,jazz:InventoryItem/JAZZ_G36Sight.lua:9 | jazz:items.lua:54288,
990002167,Прицел G36 1.5x,,"Прицел G36 (1,5×)",G36 Scope (1.5x),russian-override;new-id,jazz:InventoryItem/JAZZ_G36Sight.lua:10 | jazz:items.lua:53795,jazz,jazz:InventoryItem/JAZZ_G36Sight.lua:10 | jazz:items.lua:54289,
990002168,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_G36Sight.lua:11 | jazz:items.lua:54290,
990002169,ГП-25,,ГП-25,GP-25,russian-override;new-id,jazz:InventoryItem/JAZZ_GP25.lua:9 | jazz:items.lua:53813,jazz,jazz:InventoryItem/JAZZ_GP25.lua:9 | jazz:items.lua:54307,
990002170,ГП-25,,ГП-25,GP-25,russian-override;new-id,jazz:InventoryItem/JAZZ_GP25.lua:10 | jazz:items.lua:53814,jazz,jazz:InventoryItem/JAZZ_GP25.lua:10 | jazz:items.lua:54308,
990002171,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_GP25.lua:11 | jazz:items.lua:54309,
990002172,Default Muzzle Brake,,Стандартный дульный тормоз,Default Muzzle Brake,russian-override;new-id,jazz:InventoryItem/JAZZ_Galil_Brake_Default.lua:9 | jazz:items.lua:53832,jazz,jazz:InventoryItem/JAZZ_Galil_Brake_Default.lua:9 | jazz:items.lua:54326,
990002173,Default Muzzle Brake,,Стандартный дульный тормоз,Default Muzzle Brake,russian-override;new-id,jazz:InventoryItem/JAZZ_Galil_Brake_Default.lua:10 | jazz:items.lua:53833,jazz,jazz:InventoryItem/JAZZ_Galil_Brake_Default.lua:10 | jazz:items.lua:54327,
990002174,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_Galil_Brake_Default.lua:11 | jazz:items.lua:54328,
990002175,Grenade Launcher,,Подствольный гранатомёт,Grenade Launcher,russian-override;new-id,jazz:InventoryItem/JAZZ_GrenadeLauncher.lua:9 | jazz:items.lua:53851,jazz,jazz:InventoryItem/JAZZ_GrenadeLauncher.lua:9 | jazz:items.lua:54345,
990002176,Grenade Launcher,,Подствольный гранатомёт,Grenade Launcher,russian-override;new-id,jazz:InventoryItem/JAZZ_GrenadeLauncher.lua:10 | jazz:items.lua:53852,jazz,jazz:InventoryItem/JAZZ_GrenadeLauncher.lua:10 | jazz:items.lua:54346,
990002177,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_GrenadeLauncher.lua:11 | jazz:items.lua:54347,
990002178,Grenade Launcher,,Подствольный гранатомёт,Grenade Launcher,russian-override;new-id,jazz:InventoryItem/JAZZ_GrenadeLauncher_AUG.lua:9 | jazz:items.lua:53870,jazz,jazz:InventoryItem/JAZZ_GrenadeLauncher_AUG.lua:9 | jazz:items.lua:54364,
990002179,Grenade Launcher,,Подствольный гранатомёт,Grenade Launcher,russian-override;new-id,jazz:InventoryItem/JAZZ_GrenadeLauncher_AUG.lua:10 | jazz:items.lua:53871,jazz,jazz:InventoryItem/JAZZ_GrenadeLauncher_AUG.lua:10 | jazz:items.lua:54365,
990002180,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Removable module. Drag onto a compatible firearm or install in the weapon modification screen.,russian-override;new-id,mag-hint-aligned,jazz,jazz:InventoryItem/JAZZ_GrenadeLauncher_AUG.lua:11 | jazz:items.lua:54366,
