stem,ru_text,wav_bytes,has_audio,source_txt
073,Запишите и меня.,13950,1,165_gaston.txt
074,Этот хлам оскорбляет мое достоинство.,29046,1,165_gaston.txt
075,"Пожалуй, лучше бы с этим поиграл кто-нибудь другой.",28398,1,165_gaston.txt
076,"Мне это не нравится. Меня переполняют подозрения, словно ревнивого мужа.",48830,1,165_gaston.txt
077,,0,0,165_gaston.txt
078,Я покоряюсь судьбе. Что я теперь должен делать?,33614,1,165_gaston.txt
079,Наконец-то я восстановил связь с цивилизованным миром! Компьютер снова заработал.,63062,1,165_gaston.txt
080,Боже мой... я жив.,31942,1,165_gaston.txt
081,"Похоже, ты уже делал это раньше.",21206,1,165_gaston.txt
082,"Мы сидим тут, словно утки. Кто-то мог заметить наше неудачное приземление.",59694,1,165_gaston.txt
083,Отсюда нет выхода. Должен быть способ открыть эту дверь снизу.,50354,1,165_gaston.txt
084,Я не могу так уйти. Нас ведут одним путем по туннелю войны.,43178,1,165_gaston.txt
085,"Меня не предупреждали о том, как нужно одеваться. Мне совсем не нравится так дрожать.",51770,1,165_gaston.txt
086,"Похоже, мы нашли источник всех бед. Пора завернуть кран.",40330,1,165_gaston.txt
087,Какое гнусное место! Небось и вина под натуральной пробкой не видели.,46622,1,165_gaston.txt
088,"Наконец-то я согрелся. Там, где я катался на лыжах, было теплее.",48718,1,165_gaston.txt
089,Гастон прошел сквозь ловушку. Мы еще выпьем шампанского.,48590,1,165_gaston.txt
090,"Я знаю, они нас ждут. Я уверен, этот шум был слышен даже в Алжире!",46158,1,165_gaston.txt
091,"Пройти через ловушку удалось всем. Я не уверен, что это к лучшему.",43334,1,165_gaston.txt
092,"Надеюсь, мы встретим и других женщин.",25790,1,165_gaston.txt
093,Рауля надо бы отшлепать. Однако война заставляет нас проявлять милость и к подобным людям.,70410,1,165_gaston.txt
094,Я своими руками убью этого человека.,27758,1,165_gaston.txt
095,"Он выглядит дружелюбным, но таким был и наш пилот.",39150,1,165_gaston.txt
096,"Добро пожаловать, Мануэль. Ты не обидишься, если я предложу тебе свой одеколон? Можешь попользоваться им, словно он твой.",92582,1,165_gaston.txt
097,"Добро пожаловать, полковник. В моей команде всегда есть место для подготовленных людей.",74714,1,165_gaston.txt
098,"Интересно, мистер Кульба, сколько лет прошло с тех пор, как вы делали это в последний раз? В свободное время, по выходным?",99154,1,165_gaston.txt
099,"Японский ковбой? И кинозвезда? Откуда взялись эти люди? Что нас ждет впереди, а? Пришелец Альф?",107238,1,165_gaston.txt
100,"Я поражен! Это невероятно. Оружие, из которого я еще никого не убивал?",60266,1,165_gaston.txt
101,Я не уверен в этом... Мясорубка смерти - и кто ей управляет?,48342,1,165_gaston.txt
102,Это было неизбежно.,17714,1,165_gaston.txt
103,"Пожалуй, я лучше взгляну на эту бумагу.",24954,1,165_gaston.txt
104,"Это было прекрасно. Удивительное зрелище. Взрыв, да какой!",69518,1,165_gaston.txt
105,"Похоже, не все охранники сидели по квартирам. Или, может быть, мы встретились с другим отрядом.",61318,1,165_gaston.txt
106,"Мортира восемнадцатого века. Прекрасное оружие для своего времени. Наверное, французская.",80350,1,165_gaston.txt
107,"Похоже, мы закончили операцию по регулированию их популяции.",48674,1,165_gaston.txt
108,Как забавно! Этот идиот сам разнес себя на кусочки.,43594,1,165_gaston.txt
109,"К несчастью, все, что у него было, тоже превратилось в обломки.",38502,1,165_gaston.txt
110,"Без кусачек мне остается только биться об этот барьер до тех пор, пока он не поддастся моим усилиям. Нужно постараться делать это потише, но, похоже, это невозможно.",110194,1,165_gaston.txt
111,Это самая ужасная дверь. Ее так просто не откроешь.,47934,1,165_gaston.txt
112,"Пора спускаться в подвал. Похоже, мы открыли секрет.",43894,1,165_gaston.txt
113,Боже мой... Что за ужасный шум?,41654,1,165_gaston.txt
114,Это сигнал. У нас есть доступ к вентилятору.,48034,1,165_gaston.txt
115,"Это координаты для запуска ракет, как я и думал. Идиоты, они отметили исходную точку...",71638,1,165_gaston.txt
116,"Их глупость должна обернуться против них. Я должен быстро справиться с органами управления, а потом поскорее сбежать с помощью подъемника.",99354,1,165_gaston.txt
